,NameEng,NameVn,Nutritions,Water,Energy,Prottein,Fat,Carb,Fiber,Sugars,Calcium,Iron_Fe,Magne_Mg,Potassium_K,Sodium_Na,Zinc_Z,Vitamin_C,Vitamin_B6,Vitamin_B12,Vitamin_A,Vitamin_E,Vitamin_D23,Vitamin_D,Cholesterol,Caffein
0,tomatoes,cà chua,"{""Water"": ""93.0 g"", ""Energy"": ""23.0 kcal"", ""Protein"": ""1.2 g"", ""Total lipid (fat)"": ""0.2 g"", ""Carbohydrate, by difference"": ""5.1 g"", ""Fiber, total dietary"": ""1.1 g"", ""Sugars, total"": ""4.0 g"", ""Calcium, Ca"": ""13.0 mg"", ""Iron, Fe"": ""0.51 mg"", ""Magnesium, Mg"": ""10.0 mg"", ""Phosphorus, P"": ""28.0 mg"", ""Potassium, K"": ""204.0 mg"", ""Sodium, Na"": ""13.0 mg"", ""Zinc, Zn"": ""0.07 mg"", ""Vitamin C, total ascorbic acid"": ""23.4 mg"", ""Thiamin"": ""0.06 mg"", ""Riboflavin"": ""0.04 mg"", ""Niacin"": ""0.5 mg"", ""Vitamin B-6"": ""0.081 mg"", ""Folate, DFE"": ""9.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""32.0 µg"", ""Vitamin A, IU"": ""642.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.38 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""10.1 µg"", ""Fatty acids, total saturated"": ""0.028 g"", ""Fatty acids, total monounsaturated"": ""0.03 g"", ""Fatty acids, total polyunsaturated"": ""0.081 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",93.0 g,23.0 kcal,1.2 g,0.2 g,5.1 g,1.1 g,4.0 g,13.0 mg,0.51 mg,10.0 mg,204.0 mg,13.0 mg,0.07 mg,23.4 mg,0.081 mg,0.0 µg,32.0 µg,0.38 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
1,cauliflower,súp lơ trắng,"{""Water"": ""92.07 g"", ""Energy"": ""25.0 kcal"", ""Protein"": ""1.92 g"", ""Total lipid (fat)"": ""0.28 g"", ""Carbohydrate, by difference"": ""4.97 g"", ""Fiber, total dietary"": ""2.0 g"", ""Sugars, total"": ""1.91 g"", ""Calcium, Ca"": ""22.0 mg"", ""Iron, Fe"": ""0.42 mg"", ""Magnesium, Mg"": ""15.0 mg"", ""Phosphorus, P"": ""44.0 mg"", ""Potassium, K"": ""299.0 mg"", ""Sodium, Na"": ""30.0 mg"", ""Zinc, Zn"": ""0.27 mg"", ""Vitamin C, total ascorbic acid"": ""48.2 mg"", ""Thiamin"": ""0.05 mg"", ""Riboflavin"": ""0.06 mg"", ""Niacin"": ""0.507 mg"", ""Vitamin B-6"": ""0.184 mg"", ""Folate, DFE"": ""57.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""0.0 µg"", ""Vitamin A, IU"": ""0.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.08 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""15.5 µg"", ""Fatty acids, total saturated"": ""0.13 g"", ""Fatty acids, total monounsaturated"": ""0.034 g"", ""Fatty acids, total polyunsaturated"": ""0.031 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",92.07 g,25.0 kcal,1.92 g,0.28 g,4.97 g,2.0 g,1.91 g,22.0 mg,0.42 mg,15.0 mg,299.0 mg,30.0 mg,0.27 mg,48.2 mg,0.184 mg,0.0 µg,0.0 µg,0.08 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
2,eggplant,Cà tím,"{""Water"": ""92.3 g"", ""Energy"": ""25.0 kcal"", ""Protein"": ""0.98 g"", ""Total lipid (fat)"": ""0.18 g"", ""Carbohydrate, by difference"": ""5.88 g"", ""Fiber, total dietary"": ""3.0 g"", ""Sugars, total"": ""3.53 g"", ""Calcium, Ca"": ""9.0 mg"", ""Iron, Fe"": ""0.23 mg"", ""Magnesium, Mg"": ""14.0 mg"", ""Phosphorus, P"": ""24.0 mg"", ""Potassium, K"": ""229.0 mg"", ""Sodium, Na"": ""2.0 mg"", ""Zinc, Zn"": ""0.16 mg"", ""Vitamin C, total ascorbic acid"": ""2.2 mg"", ""Thiamin"": ""0.039 mg"", ""Riboflavin"": ""0.037 mg"", ""Niacin"": ""0.649 mg"", ""Vitamin B-6"": ""0.084 mg"", ""Folate, DFE"": ""22.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""1.0 µg"", ""Vitamin A, IU"": ""23.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.3 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""3.5 µg"", ""Fatty acids, total saturated"": ""0.034 g"", ""Fatty acids, total monounsaturated"": ""0.016 g"", ""Fatty acids, total polyunsaturated"": ""0.076 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",92.3 g,25.0 kcal,0.98 g,0.18 g,5.88 g,3.0 g,3.53 g,9.0 mg,0.23 mg,14.0 mg,229.0 mg,2.0 mg,0.16 mg,2.2 mg,0.084 mg,0.0 µg,1.0 µg,0.3 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
3,spinach,Rau chân vịt,"{""Water"": ""91.4 g"", ""Energy"": ""23.0 kcal"", ""Protein"": ""2.86 g"", ""Total lipid (fat)"": ""0.39 g"", ""Carbohydrate, by difference"": ""3.63 g"", ""Fiber, total dietary"": ""2.2 g"", ""Sugars, total"": ""0.42 g"", ""Calcium, Ca"": ""99.0 mg"", ""Iron, Fe"": ""2.71 mg"", ""Magnesium, Mg"": ""79.0 mg"", ""Phosphorus, P"": ""49.0 mg"", ""Potassium, K"": ""558.0 mg"", ""Sodium, Na"": ""79.0 mg"", ""Zinc, Zn"": ""0.53 mg"", ""Vitamin C, total ascorbic acid"": ""28.1 mg"", ""Thiamin"": ""0.078 mg"", ""Riboflavin"": ""0.189 mg"", ""Niacin"": ""0.724 mg"", ""Vitamin B-6"": ""0.195 mg"", ""Folate, DFE"": ""194.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""469.0 µg"", ""Vitamin A, IU"": ""9377.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""2.03 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""482.9 µg"", ""Fatty acids, total saturated"": ""0.063 g"", ""Fatty acids, total monounsaturated"": ""0.01 g"", ""Fatty acids, total polyunsaturated"": ""0.165 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",91.4 g,23.0 kcal,2.86 g,0.39 g,3.63 g,2.2 g,0.42 g,99.0 mg,2.71 mg,79.0 mg,558.0 mg,79.0 mg,0.53 mg,28.1 mg,0.195 mg,0.0 µg,469.0 µg,2.03 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
4,cabbage,Bắp cải,"{""Water"": ""92.18 g"", ""Energy"": ""25.0 kcal"", ""Protein"": ""1.28 g"", ""Total lipid (fat)"": ""0.1 g"", ""Carbohydrate, by difference"": ""5.8 g"", ""Fiber, total dietary"": ""2.5 g"", ""Sugars, total"": ""3.2 g"", ""Calcium, Ca"": ""40.0 mg"", ""Iron, Fe"": ""0.47 mg"", ""Magnesium, Mg"": ""12.0 mg"", ""Phosphorus, P"": ""26.0 mg"", ""Potassium, K"": ""170.0 mg"", ""Sodium, Na"": ""18.0 mg"", ""Zinc, Zn"": ""0.18 mg"", ""Vitamin C, total ascorbic acid"": ""36.6 mg"", ""Thiamin"": ""0.061 mg"", ""Riboflavin"": ""0.04 mg"", ""Niacin"": ""0.234 mg"", ""Vitamin B-6"": ""0.124 mg"", ""Folate, DFE"": ""43.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""5.0 µg"", ""Vitamin A, IU"": ""98.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.15 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""76.0 µg"", ""Fatty acids, total saturated"": ""0.034 g"", ""Fatty acids, total monounsaturated"": ""0.017 g"", ""Fatty acids, total polyunsaturated"": ""0.017 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",92.18 g,25.0 kcal,1.28 g,0.1 g,5.8 g,2.5 g,3.2 g,40.0 mg,0.47 mg,12.0 mg,170.0 mg,18.0 mg,0.18 mg,36.6 mg,0.124 mg,0.0 µg,5.0 µg,0.15 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
5,broccoli,Bông cải xanh,"{""Water"": ""89.3 g"", ""Energy"": ""34.0 kcal"", ""Protein"": ""2.82 g"", ""Total lipid (fat)"": ""0.37 g"", ""Carbohydrate, by difference"": ""6.64 g"", ""Fiber, total dietary"": ""2.6 g"", ""Sugars, total"": ""1.7 g"", ""Calcium, Ca"": ""47.0 mg"", ""Iron, Fe"": ""0.73 mg"", ""Magnesium, Mg"": ""21.0 mg"", ""Phosphorus, P"": ""66.0 mg"", ""Potassium, K"": ""316.0 mg"", ""Sodium, Na"": ""33.0 mg"", ""Zinc, Zn"": ""0.41 mg"", ""Vitamin C, total ascorbic acid"": ""89.2 mg"", ""Thiamin"": ""0.071 mg"", ""Riboflavin"": ""0.117 mg"", ""Niacin"": ""0.639 mg"", ""Vitamin B-6"": ""0.175 mg"", ""Folate, DFE"": ""63.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""31.0 µg"", ""Vitamin A, IU"": ""623.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.78 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""101.6 µg"", ""Fatty acids, total saturated"": ""0.114 g"", ""Fatty acids, total monounsaturated"": ""0.031 g"", ""Fatty acids, total polyunsaturated"": ""0.112 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",89.3 g,34.0 kcal,2.82 g,0.37 g,6.64 g,2.6 g,1.7 g,47.0 mg,0.73 mg,21.0 mg,316.0 mg,33.0 mg,0.41 mg,89.2 mg,0.175 mg,0.0 µg,31.0 µg,0.78 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
6,artichoke,Atiso,"{""Water"": ""78.01 g"", ""Energy"": ""73.0 kcal"", ""Protein"": ""2.0 g"", ""Total lipid (fat)"": ""0.01 g"", ""Carbohydrate, by difference"": ""17.44 g"", ""Fiber, total dietary"": ""1.6 g"", ""Sugars, total"": ""9.6 g"", ""Calcium, Ca"": ""14.0 mg"", ""Iron, Fe"": ""3.4 mg"", ""Magnesium, Mg"": ""17.0 mg"", ""Phosphorus, P"": ""78.0 mg"", ""Potassium, K"": ""429.0 mg"", ""Sodium, Na"": ""4.0 mg"", ""Zinc, Zn"": ""0.12 mg"", ""Vitamin C, total ascorbic acid"": ""4.0 mg"", ""Thiamin"": ""0.2 mg"", ""Riboflavin"": ""0.06 mg"", ""Niacin"": ""1.3 mg"", ""Vitamin B-6"": ""0.077 mg"", ""Folate, DFE"": ""13.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""1.0 µg"", ""Vitamin A, IU"": ""20.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.19 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""0.1 µg"", ""Fatty acids, total saturated"": ""0.0 g"", ""Fatty acids, total monounsaturated"": ""0.004 g"", ""Fatty acids, total polyunsaturated"": ""0.001 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",78.01 g,73.0 kcal,2.0 g,0.01 g,17.44 g,1.6 g,9.6 g,14.0 mg,3.4 mg,17.0 mg,429.0 mg,4.0 mg,0.12 mg,4.0 mg,0.077 mg,0.0 µg,1.0 µg,0.19 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
7,celery,Cần tây,"{""Water"": ""95.43 g"", ""Energy"": ""14.0 kcal"", ""Protein"": ""0.69 g"", ""Total lipid (fat)"": ""0.17 g"", ""Carbohydrate, by difference"": ""2.97 g"", ""Fiber, total dietary"": ""1.6 g"", ""Sugars, total"": ""1.34 g"", ""Calcium, Ca"": ""40.0 mg"", ""Iron, Fe"": ""0.2 mg"", ""Magnesium, Mg"": ""11.0 mg"", ""Phosphorus, P"": ""24.0 mg"", ""Potassium, K"": ""260.0 mg"", ""Sodium, Na"": ""80.0 mg"", ""Zinc, Zn"": ""0.13 mg"", ""Vitamin C, total ascorbic acid"": ""3.1 mg"", ""Thiamin"": ""0.021 mg"", ""Riboflavin"": ""0.057 mg"", ""Niacin"": ""0.32 mg"", ""Vitamin B-6"": ""0.074 mg"", ""Folate, DFE"": ""36.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""22.0 µg"", ""Vitamin A, IU"": ""449.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.27 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""29.3 µg"", ""Fatty acids, total saturated"": ""0.042 g"", ""Fatty acids, total monounsaturated"": ""0.032 g"", ""Fatty acids, total polyunsaturated"": ""0.079 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",95.43 g,14.0 kcal,0.69 g,0.17 g,2.97 g,1.6 g,1.34 g,40.0 mg,0.2 mg,11.0 mg,260.0 mg,80.0 mg,0.13 mg,3.1 mg,0.074 mg,0.0 µg,22.0 µg,0.27 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
8,peas,Đậu Hà Lan,"{""Water"": ""78.86 g"", ""Energy"": ""81.0 kcal"", ""Protein"": ""5.42 g"", ""Total lipid (fat)"": ""0.4 g"", ""Carbohydrate, by difference"": ""14.45 g"", ""Fiber, total dietary"": ""5.7 g"", ""Sugars, total"": ""5.67 g"", ""Calcium, Ca"": ""25.0 mg"", ""Iron, Fe"": ""1.47 mg"", ""Magnesium, Mg"": ""33.0 mg"", ""Phosphorus, P"": ""108.0 mg"", ""Potassium, K"": ""244.0 mg"", ""Sodium, Na"": ""5.0 mg"", ""Zinc, Zn"": ""1.24 mg"", ""Vitamin C, total ascorbic acid"": ""40.0 mg"", ""Thiamin"": ""0.266 mg"", ""Riboflavin"": ""0.132 mg"", ""Niacin"": ""2.09 mg"", ""Vitamin B-6"": ""0.169 mg"", ""Folate, DFE"": ""65.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""38.0 µg"", ""Vitamin A, IU"": ""765.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.13 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""24.8 µg"", ""Fatty acids, total saturated"": ""0.071 g"", ""Fatty acids, total monounsaturated"": ""0.035 g"", ""Fatty acids, total polyunsaturated"": ""0.187 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",78.86 g,81.0 kcal,5.42 g,0.4 g,14.45 g,5.7 g,5.67 g,25.0 mg,1.47 mg,33.0 mg,244.0 mg,5.0 mg,1.24 mg,40.0 mg,0.169 mg,0.0 µg,38.0 µg,0.13 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
9,fennel,Thì là,"{""Water"": ""90.21 g"", ""Energy"": ""31.0 kcal"", ""Protein"": ""1.24 g"", ""Total lipid (fat)"": ""0.2 g"", ""Carbohydrate, by difference"": ""7.3 g"", ""Fiber, total dietary"": ""3.1 g"", ""Sugars, total"": ""3.93 g"", ""Calcium, Ca"": ""49.0 mg"", ""Iron, Fe"": ""0.73 mg"", ""Magnesium, Mg"": ""17.0 mg"", ""Phosphorus, P"": ""50.0 mg"", ""Potassium, K"": ""414.0 mg"", ""Sodium, Na"": ""52.0 mg"", ""Zinc, Zn"": ""0.2 mg"", ""Vitamin C, total ascorbic acid"": ""12.0 mg"", ""Thiamin"": ""0.01 mg"", ""Riboflavin"": ""0.032 mg"", ""Niacin"": ""0.64 mg"", ""Vitamin B-6"": ""0.047 mg"", ""Folate, DFE"": ""27.0 µg"", ""Vitamin B-12"": ""0.0 µg"", ""Vitamin A, RAE"": ""48.0 µg"", ""Vitamin A, IU"": ""963.0 IU"", ""Vitamin E (alpha-tocopherol)"": ""0.58 mg"", ""Vitamin D (D2 + D3)"": ""0.0 µg"", ""Vitamin D"": ""0.0 IU"", ""Vitamin K (phylloquinone)"": ""62.8 µg"", ""Fatty acids, total saturated"": ""0.09 g"", ""Fatty acids, total monounsaturated"": ""0.068 g"", ""Fatty acids, total polyunsaturated"": ""0.169 g"", ""Fatty acids, total trans"": ""0.0 g"", ""Cholesterol"": ""0.0 mg"", ""Caffeine"": ""0.0 mg""}",90.21 g,31.0 kcal,1.24 g,0.2 g,7.3 g,3.1 g,3.93 g,49.0 mg,0.73 mg,17.0 mg,414.0 mg,52.0 mg,0.2 mg,12.0 mg,0.047 mg,0.0 µg,48.0 µg,0.58 mg,0.0 µg,0.0 IU,0.0 mg,0.0 mg
